"filename", "language", "XML", "Go", "Python", "comment", "blank", "total"
"h:\MixWorkspace\Homeworks\information\LDPC\channel\channel.go", "Go", 0, 56, 0, 1, 11, 68
"h:\MixWorkspace\Homeworks\information\LDPC\channel\channel_test.go", "Go", 0, 40, 0, 0, 6, 46
"h:\MixWorkspace\Homeworks\information\LDPC\coder\coder_test.go", "Go", 0, 103, 0, 3, 4, 110
"h:\MixWorkspace\Homeworks\information\LDPC\coder\decoder.go", "Go", 0, 61, 0, 0, 9, 70
"h:\MixWorkspace\Homeworks\information\LDPC\coder\encoder.go", "Go", 0, 47, 0, 0, 6, 53
"h:\MixWorkspace\Homeworks\information\LDPC\coder\node.go", "Go", 0, 26, 0, 0, 7, 33
"h:\MixWorkspace\Homeworks\information\LDPC\coder\node_test.go", "Go", 0, 64, 0, 0, 5, 69
"h:\MixWorkspace\Homeworks\information\LDPC\coder\recoder.go", "Go", 0, 100, 0, 2, 19, 121
"h:\MixWorkspace\Homeworks\information\LDPC\doc\mat_to_txt.py", "Python", 0, 0, 48, 0, 4, 52
"h:\MixWorkspace\Homeworks\information\LDPC\go.mod", "XML", 2, 0, 0, 0, 2, 4
"h:\MixWorkspace\Homeworks\information\LDPC\matrix\list.go", "Go", 0, 69, 0, 0, 11, 80
"h:\MixWorkspace\Homeworks\information\LDPC\matrix\matrix.go", "Go", 0, 138, 0, 0, 14, 152
"h:\MixWorkspace\Homeworks\information\LDPC\matrix\matrix_test.go", "Go", 0, 111, 0, 0, 9, 120
"h:\MixWorkspace\Homeworks\information\LDPC\modem\modem.go", "Go", 0, 26, 0, 0, 4, 30
"h:\MixWorkspace\Homeworks\information\LDPC\modem\modem_test.go", "Go", 0, 18, 0, 0, 4, 22
"h:\MixWorkspace\Homeworks\information\LDPC\source\source.go", "Go", 0, 14, 0, 0, 4, 18
"h:\MixWorkspace\Homeworks\information\LDPC\source\source_test.go", "Go", 0, 22, 0, 0, 4, 26
"h:\MixWorkspace\Homeworks\information\LDPC\util\util.go", "Go", 0, 92, 0, 0, 8, 100
"Total", "-", 2, 987, 48, 6, 131, 1174